SH_ID_36,地址,lng,lat,确诊日期36
10g81wb,安远路16弄,121.44911136948778,31.243355457879336,s
10g8ppe,安远路16弄,121.44911136948778,31.243355457879336,v
10g8xok,安远路16弄,121.44911136948778,31.243355457879336,w
10g81tw,安远路188弄,121.44427728358153,31.24108573669147,s
10g8hi4,安远路188弄,121.44427728358153,31.24108573669147,u
10g8ppf,安远路188弄,121.44427728358153,31.24108573669147,v
10g9ks9,安远路188弄,121.44427728358153,31.24108573669147,z
10g9sgk,安远路188弄,121.44427728358153,31.24108573669147,10
10ga0dt,安远路188弄,121.44427728358153,31.24108573669147,11
10ga80r,安远路188弄,121.44427728358153,31.24108573669147,12
10g7u1o,安远路230弄,121.44378726282507,31.24028076877248,r
10g81u6,安远路230弄,121.44378726282507,31.24028076877248,s
10g89z1,安远路230弄,121.44378726282507,31.24028076877248,t
10g8ppg,安远路230弄,121.44378726282507,31.24028076877248,v
10g8xol,安远路230弄,121.44378726282507,31.24028076877248,w
10g959u,安远路230弄,121.44378726282507,31.24028076877248,x
10g9d43,安远路230弄,121.44378726282507,31.24028076877248,y
10g9ksa,安远路230弄,121.44378726282507,31.24028076877248,z
10g9sgl,安远路230弄,121.44378726282507,31.24028076877248,10
10ga0du,安远路230弄,121.44378726282507,31.24028076877248,11
10ga80s,安远路230弄,121.44378726282507,31.24028076877248,12
10g8pph,安远路710号,121.4339729928209,31.2353284457495,v
10g7u16,安远路722弄,121.4339590034346,31.235923450316264,r
10g9d44,安远路722弄,121.4339590034346,31.235923450316264,y
10g7tz3,安远路84号,121.44731534161083,31.242316547456237,r
10g8xom,安远路84号,121.44731534161083,31.242316547456237,w
10g9d45,安远路84号,121.44731534161083,31.242316547456237,y
10g9ksb,安远路84号,121.44731534161083,31.242316547456237,z
10g9sgm,安远路84号,121.44731534161083,31.242316547456237,10
10ga0dv,安远路84号,121.44731534161083,31.242316547456237,11
10ga80t,安远路84号,121.44731534161083,31.242316547456237,12
10g8hi5,澳门路288弄,121.44328436473464,31.247859815970585,u
10g8ppi,澳门路288弄,121.44328436473464,31.247859815970585,v
10g8xon,澳门路288弄,121.44328436473464,31.247859815970585,w
10g9d46,澳门路288弄,121.44328436473464,31.247859815970585,y
10g9ksc,澳门路288弄,121.44328436473464,31.247859815970585,z
10g9sgn,澳门路288弄,121.44328436473464,31.247859815970585,10
10ga0dw,澳门路288弄,121.44328436473464,31.247859815970585,11
